question;niveau;recommandation1;recommandation2;cap
9;1;Partager une vision des besoins et des moyens existants~~n~~Identifier les principaux services, dispositifs et financements mobilisables sur le territoire, et les mettre en regard des besoins prioritaires identifiés par le CLPE.;Coordonner une première réponse collective~~n~~Choisir un besoin prioritaire du territoire et organiser collectivement la complémentarité des moyens existants pour construire une réponse commune entre les financeurs et les acteurs concernés.;Passer d’une connaissance dispersée des dispositifs et financements à une coordination des moyens disponibles pour mieux répondre aux besoins du territoire.
9;2;Structurer le partage des offres et des moyens~~n~~Installer un fonctionnement régulier de la conférence des financeurs pour partager les services proposés, les financements disponibles, les priorités du territoire et les besoins restant à couvrir.;Mieux articuler les réponses financées~~n~~Identifier les complémentarités entre les dispositifs existants, les possibilités de cofinancement et les besoins non couverts afin d’améliorer la cohérence des réponses apportées aux usagers.;Passer d’une coordination ponctuelle des financeurs à une organisation partagée des services et des moyens mobilisables au service des priorités du CLPE.
9;3;Programmer les moyens en fonction des priorités du territoire~~n~~Mettre en regard les priorités de la feuille de route du CLPE, les besoins identifiés et les moyens disponibles pour définir les services et financements à mobiliser en complémentarité.;Mesurer l’adéquation des moyens mobilisés aux besoins~~n~~Suivre les actions financées, les publics ou besoins couverts, les complémentarités entre dispositifs et les éventuels manques afin d’ajuster les moyens engagés et faire évoluer l’offre de services du territoire.;Faire de la conférence des financeurs un levier opérationnel de coordination des services, des financements et des moyens mobilisables, connecté aux priorités du CLPE et aux besoins du territoire.
10;1;Identifier les principaux points de complexité du territoire~~n~~Repérer collectivement les situations où la multiplicité des acteurs ou des dispositifs crée des difficultés : instances redondantes, manque de lisibilité des offres, difficultés d’orientation ou de coordination.;Co-construire une première réponse de simplification~~n~~Choisir un sujet prioritaire et définir les premiers ajustements possibles entre acteurs du territoire : articulation des rôles, partage d’informations, modalités d’orientation ou regroupement des échanges.;Faire du CLPE un espace contribuant à simplifier progressivement l’organisation territoriale, en améliorant la lisibilité des acteurs, des offres et des modalités de coopération.
10;2;Clarifier les articulations entre instances et acteurs~~n~~Identifier les complémentarités entre les différentes instances, dispositifs et acteurs du territoire afin de mieux répartir rôles et périmètre et limiter les échanges redondants.;Simplifier les modalités de coopération~~n~~Définir des pratiques communes pour faciliter le travail entre acteurs : sujets traités dans chaque instance, modalités de partage d’information et relais entre dispositifs.;Passer d’une coordination entre acteurs à une organisation territoriale plus lisible, où chacun connaît mieux son rôle, la complémentarité et le cadre des interventions.
10;3;Poursuivre la convergence des travaux entre acteurs et instances du territoires~~n~~Identifier les sujets pouvant être traités collectivement au sein du CLPE afin de limiter la multiplication des échanges et favoriser une approche commune des priorités du territoire.;Faire évoluer progressivement l’organisation collective~~n~~Capitaliser les simplifications mises en place, identifier les articulations encore complexes et proposer des évolutions permettant de rendre les interventions plus lisibles pour les acteurs du territoire et les usagers.;Faire du CLPE un point d’appui pour une organisation territoriale plus intégrée, où les acteurs coordonnent leurs interventions dans un cadre simplifié autour de priorités communes et une offre de services plus lisible.
11;1;Associer les acteurs utiles aux priorités du territoire~~n~~Identifier les partenaires qui ne participent pas encore aux travaux du CLPE et les inviter à contribuer sur les sujets où leur expertise ou leur intervention est attendue.;Donner à chaque acteur une place dans les travaux du CLPE~~n~~Préciser, pour les principaux sujets abordés, le rôle attendu de chaque acteur (partage d'informations, expertise, contribution au diagnostic, participation à un groupe de travail…) afin de favoriser une participation régulière.;Passer d'un CLPE où les acteurs participent de manière ponctuelle à un CLPE où les principaux acteurs du territoire sont représentés et contribuent régulièrement aux travaux communs.
11;2;Impliquer les membres du CLPE dans la mise en œuvre des actions~~n~~Confier le pilotage ou le copilotage des actions de la feuille de route à différents acteurs, en fonction de leurs compétences et de leurs missions, et définir la contribution attendue des autres partenaires à leur mise en œuvre.;Suivre les contributions aux actions~~n~~Prévoir à chaque réunion un point d'avancement sur les actions engagées afin que chaque pilote (en lien étroit avec les contributeurs) puisse présenter les avancées, les difficultés rencontrées et les besoins d'appui éventuels.;Passer d'un CLPE où les acteurs contribuent aux actions locales à un CLPE où les membres portent collectivement leur mise en œuvre et l'atteinte des objectifs fixés.
11;3;Préciser la contribution de chaque acteur à l'atteinte des résultats~~n~~Définir, pour chaque action de la feuille de route, les contributions attendues de chaque membre (expertise, moyens, mobilisation des publics, relais, mise en œuvre…) et en assurer le suivi.;Renforcer les complémentarités entre les membres du CLPE~~n~~Identifier les synergies possibles entre les missions de chacun, favoriser la mutualisation des ressources et construire des réponses communes pour renforcer l'impact des actions sur le territoire.;Passer d'un CLPE où les acteurs contribuent aux actions locales à un CLPE où les membres partagent la responsabilité des résultats et mobilisent leurs compétences de manière complémentaire pour adapter collectivement les actions et services aux enjeux du territoire.
12;1;Faire du TDB RPE le support de référence du suivi de la feuille de route et des actions~~n~~Intégrer et/ ou mettre à jour dans le TDB RPE les fiches actions, leurs responsables, les échéances, les résultats et objectifs afin de disposer d'une vision partagée et actualisée de l'activité du CLPE.;Utiliser le TDB RPE lors des réunions du CLPE~~n~~S'appuyer sur le tableau de bord pour présenter l'avancement des actions prioritaires, identifier les difficultés rencontrées, analyser les données et résultats du territoire afin d'ancrer progressivement son usage dans le fonctionnement du comité.;Passer d'un TDB RPE utilisé principalement comme outil de saisie à un TDB RPE utilisé régulièrement pour suivre les actions de la feuille de route et animer les travaux du CLPE.
12;2;Installer une revue régulière de la feuille de route à partir du TDB RPE~~n~~À chaque réunion du CLPE, examiner les actions de la feuille de route partagée, leur niveau d'avancement, les résultats obtenus et les éventuels écarts par rapport aux objectifs afin de décider collectivement des ajustements nécessaires.;Développer les usages du TDB RPE pour éclairer les décisions du CLPE~~n~~Mobiliser les données disponibles pour objectiver les priorités du territoire et identifier des actions ou pratiques d'autres CLPE pouvant être adaptées localement.;Passer d'un TDB RPE utilisé pour suivre les actions à un TDB RPE mobilisé comme un véritable outil de pilotage permettant d'orienter les décisions du CLPE et d'enrichir les actions engagées.
12;3;Exploiter pleinement les données du TDB RPE pour le pilotage stratégique~~n~~Utiliser les indicateurs et les résultats pour cibler les publics prioritaires, mesurer les effets et l'impact des actions et orienter les décisions d'ajustement de la feuille de route.;Faire du TDB RPE un outil de capitalisation et d'inspiration entre territoires ~~n~~Identifier régulièrement les fiches actions à fort impact mises en œuvre dans d'autres CLPE, les partager au sein du comité et évaluer leur adaptation au contexte local afin de s'en inspirer et de renforcer l'impact des actions menées sur le territoire.;Passer d'un TDB RPE utilisé pour piloter la feuille de route locale à un TDB RPE pleinement intégré au pilotage du CLPE, utilisé comme un outil d'analyse et de prise de décision pour orienter les priorités, objectiver les résultats, identifier des actions à fort impact conduites dans d'autres territoires et renforcer l'impact des actions sur le territoire.
13;1;Identifier et faire connaître les outils du RPE utiles aux priorités du CLPE~~n~~Présenter aux membres un nombre limité d'outils et surtout leurs usages concrets : TDB RPE pour piloter les actions communes et analyser les données du territoire, DORA pour identifier et rendre visibles les offres de services, Académie France Travail pour développer une culture et des compétences communes, outils de la task force entreprise pour coordonner la relation aux employeurs du territoire.;Installer les premiers usages communs des outils du RPE~~n~~Choisir un ou deux usages simples et directement opérationnels (revue de la feuille de route à partir du TDB RPE, recherche d'une offre dans DORA, partage de ressources ou utilisation d'un espace collaboratif) afin de faciliter les échanges entre les membres et d'ancrer progressivement les outils dans le fonctionnement opérationnel du CLPE.;Passer d'une utilisation ponctuelle ou méconnue des outils du RPE à des premiers usages communs permettant de faciliter les échanges, le partage d'informations et le suivi des actions du CLPE.
13;2;Définir un cadre commun d'utilisation des outils du RPE~~n~~Associer à chaque besoin du CLPE un outil de référence (pilotage des actions, connaissance des offres de services, coopération entre acteurs, relation aux entreprises, développement de compétences communes) afin de favoriser des usages cohérents et partagés par l'ensemble des membres.;Ancrer les outils du RPE dans les pratiques régulières du CLPE ~~n~~Intégrer leur utilisation aux principaux processus de travail (préparation et suivi des réunions, actualisation des actions, partage de données, coordination entre acteurs) et identifier, si nécessaire, un référent pour accompagner leur appropriation et leur utilisation.;Passer d'une utilisation ponctuelle de plusieurs outils à des usages réguliers et partagés, intégrés aux principaux processus de travail du CLPE afin de renforcer la coordination entre les partenaires et le pilotage des actions.
13;3;Faire des outils communs du RPE des leviers de pilotage et de coopération~~n~~Utiliser les différents outils de manière complémentaire pour faciliter le suivi des actions, le partage de données, la coordination entre acteurs et la prise de décision au sein du CLPE.;Évaluer et renforcer l'impact des outils du RPE sur le fonctionnement opérationnel du CLPE~~n~~Identifier régulièrement les difficultés d'usage, les besoins d'accompagnement ou les bonnes pratiques afin d'améliorer leur utilisation et de renforcer leur impact sur la coopération entre acteurs, le pilotage des actions et les résultats obtenus sur le territoire.;Passer d'outils utilisés régulièrement pour coordonner les travaux du CLPE à un socle d'outils pleinement intégré au fonctionnement du réseau, facilitant durablement la coopération entre les acteurs, le pilotage des actions et leur impact sur le territoire.
14;1;Construire une première vision partagée des offres de services du territoire~~n~~Recenser en priorité les offres répondant aux enjeux de la feuille de route (accompagnement publics types, difficultés recrutement, métiers en tension, formation, mobilité, levée des freins périphériques…) en s'appuyant sur les outils existants, notamment DORA, plutôt que de créer un nouvel outil de recensement.;Prioriser la cartographie sur un besoin concret du territoire~~n~~Commencer par un public ou une problématique prioritaire du CLPE afin d'identifier qui propose quoi, pour quel public et sur quel périmètre, puis utiliser cette première cartographie pour améliorer les orientations entre acteurs du territoire.;Passer d'une connaissance partielle des offres de services à une cartographie partagée permettant aux acteurs de mieux orienter les usagers et de disposer d'une vision commune des ressources du territoire.
14;2;Compléter et fiabiliser la cartographie avec l'ensemble des acteurs concernés~~n~~Identifier les offres manquantes, vérifier leur actualisation, préciser les publics cibles, les conditions d'accès et les périmètres d'intervention, puis définir des modalités de mise à jour régulières.;Faire de la cartographie un outil d'analyse des besoins du territoire~~n~~Mettre régulièrement les offres en regard du diagnostic territorial afin d'identifier les manques, les doublons et les complémentarités, puis traduire ces constats en priorités d'action dans la feuille de route du CLPE.;Passer d'une cartographie utilisée principalement comme outil de recensement à une cartographie mobilisée pour analyser les besoins du territoire, orienter les décisions du CLPE et améliorer la coordination des offres de services.
14;3;Organiser une actualisation collective et continue de la cartographie~~n~~Répartir entre acteurs la responsabilité de la mise à jour des offres, des conditions d'accès et des publics concernés en s'appuyant autant que possible sur DORA et les outils existants afin de garantir une information fiable et partagée.;Exploiter la cartographie comme un levier d'amélioration de l'impact des offres sur le territoire~~n~~Analyser régulièrement les manques, les doublons et les complémentarités, s'appuyer sur ces constats pour adapter la feuille de route et engager les évolutions nécessaires afin de renforcer l'impact des services proposés sur le territoire.;Passer d'une cartographie utilisée pour suivre l'offre de services à une cartographie pleinement intégrée au pilotage du CLPE, permettant d'adapter les offres aux besoins du territoire, de renforcer leur complémentarité, d'accroître leur impact et d'améliorer leur lisibilité pour les usagers.
15;1;Identifier les principaux besoins insuffisamment couverts sur le territoire~~n~~S'appuyer sur le diagnostic territorial, les données disponibles ainsi que les retours des professionnels et des usagers pour sélectionner de manière collective quelques enjeux prioritaires (accès à la formation, mobilité, garde d'enfants, accompagnement de certains publics, recrutement sur les métiers en tension…).;Comparer les besoins prioritaires avec les offres existantes~~n~~Pour une première priorité du CLPE, identifier les réponses disponibles, repérer les écarts entre les besoins et les services proposés, puis inscrire dans la feuille de route du CLPE les premières actions permettant d'améliorer la réponse apportée aux usagers.;Passer d'une connaissance générale des besoins et des offres à une analyse partagée des écarts permettant de mieux orienter les usagers et de définir en réponse, les premières priorités d'action du CLPE.
15;2;Structurer l'analyse des écarts entre les besoins et les offres de services du territoire~~n~~Croiser régulièrement les besoins identifiés avec les offres disponibles et partager cette analyse en CLPE afin d'objectiver les principaux écarts et de disposer d'une vision commune des enjeux du territoire.;Transformer les écarts identifiés en décisions opérationnelles~~n~~Pour chaque besoin prioritaire insuffisamment couvert, définir collectivement les réponses à mettre en œuvre (adaptation d'une offre existante, meilleure coordination, mutualisation de moyens ou création d'une réponse complémentaire) et les intégrer à la feuille de route du CLPE.;Passer d'une analyse ponctuelle des besoins et des offres à une analyse structurée des écarts permettant d'orienter les décisions, de coordonner les réponses entre acteurs et d'améliorer l'adéquation des services aux besoins du territoire.
15;3;Faire de l'analyse des besoins et des offres un levier permanent de pilotage~~n~~Suivre régulièrement les évolutions des besoins des usagers et la capacité des offres existantes à y répondre afin d'ajuster les priorités et les actions du CLPE en fonction des réalités du territoire.;Mobiliser l'analyse des écarts pour renforcer l'impact des actions sur le territoire~~n~~Pour chaque besoin insuffisamment couvert, décider collectivement des adaptations à engager (évolution des offres, meilleure coordination, mutualisation des moyens ou mobilisation de nouvelles ressources) et évaluer régulièrement leur impact sur les usagers et le territoire.;Passer d'une analyse des écarts utilisée pour orienter les actions à une analyse pleinement intégrée au pilotage stratégique du CLPE, permettant d'adapter en continu les offres aux besoins des usagers, d'optimiser les moyens mobilisés et de renforcer l'impact des actions sur le territoire.
16;1;Repérer les principaux parcours où les orientations sont difficiles~~n~~Choisir deux ou trois situations prioritaires (par exemple : bénéficiaires du RSA, jeunes, entreprises recrutant sur des métiers en tension…) et analyser collectivement avec les acteurs membres du CLPE les ruptures de parcours, les erreurs d'orientation ou les délais rencontrés.;Mettre en place des premiers circuits d'orientation entre membres du CLPE~~n~~Définir, pour chaque parcours prioritaire, quel acteur oriente vers quel partenaire, selon quelles modalités et avec quels points de contact. Organiser en parallèle les premières modalités de coordination de la relation entreprise dans le cadre de la task force entreprise (TFE.;Passer d'orientations reposant principalement sur les relations entre professionnels à des premiers parcours d'orientation partagés, permettant de mieux orienter les chercheurs d'emploi et les entreprises quel que soit leur point d'entrée.
